web-scraper-order,web-scraper-start-url,page,url,imgSrc,name,description
1621182468-120,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=2,https://avatars.slack-edge.com/2020-01-01/892693079079_81969357d898a903af11_96.png,Gator,Smart scheduled delivery for your Slack messages.
1621182524-314,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=7,https://avatars.slack-edge.com/2020-08-14/1325119410880_ffc86de8cdd07a121642_96.png,Chargifi Alerts,Get Chargifi alerts delivered to Slack
1621182610-597,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,Previous,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured?page=1,https://avatars.slack-edge.com/2019-09-26/761870597298_ed0eb531cea1cfd3ca56_96.png,Jira Integration+,Slack connected to Jira Cloud or Data Center.
1621182496-209,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2020-07-22/1255978473635_a0355ecf8d3ecece2650_96.png,SignOff,The faster way to get campaigns live and showcase your results
1621182440-1,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,,,https://avatars.slack-edge.com/2017-08-04/221756642528_4922bf5e3a4d9e4f80fd_96.png,Trello,Collaborate on Trello projects without leaving Slack.
1621182595-517,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,,,https://avatars.slack-edge.com/2020-05-09/1112549471909_7543dde099089941d3c3_96.png,Simple Poll,Create simple polls and surveys in Slack
1621182486-198,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=3,https://avatars.slack-edge.com/2020-09-21/1378891781859_427d5b5345baf5fa17d9_96.png,SubOps,"Find unused subscriptions, automatically. Stop wasting time and money."
1621182595-536,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,,,https://avatars.slack-edge.com/2019-01-30/536852289265_7ff5b59d4db5627841b7_96.png,Workstreams,Workflow & Kanban task management for distributed teams
1621182566-448,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,Next,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home?page=2,https://avatars.slack-edge.com/2021-03-16/1850180674999_5682c8b651a0b9cbf06b_96.png,Parabol,Guided retrospective & check-in meetings. Reflect. Improve. Execute.
1621182440-13,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,,,https://avatars.slack-edge.com/2019-09-26/761870597298_ed0eb531cea1cfd3ca56_96.png,Jira Integration+,Slack connected to Jira Cloud or Data Center.
1621182515-286,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2020-11-22/1513481639014_62951ae8cc803e5632dc_96.png,Shell,Whoa! A unix shell inside Slack.
1621182595-534,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,,,https://avatars.slack-edge.com/2018-10-18/458684668640_b6e0feb5a3be66d465f4_96.png,Geekbot,"Asynchronous standup meetings, Retrospectives & Culture surveys"
1621182524-294,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=7,https://avatars.slack-edge.com/2020-11-10/1497169519460_2b6dfbe8ce78b46a2d1a_96.jpg,comrades,Breaks the ice and initiates engaging conversations
1621182476-156,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Previous,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=1,https://avatars.slack-edge.com/2020-04-21/1069616724710_52d32ecfe70c3c33b443_96.png,The New York Times,Keep up with the stories shaping your world — without closing Slack.
1621182476-167,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Previous,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=1,https://avatars.slack-edge.com/2017-03-28/160975992802_ddd203aba831de902493_96.png,Hive,The Productivity Platform
1621182552-393,https://gangchanger.slack.com/apps/category/AtHC5Q7RUJ-daily-tools,,,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2017-09-21/245295805989_06e77af1bfb8e3c81d4d_96.png,Zoom,Easily start a Zoom video meeting directly from Slack.
1621182496-226,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2020-12-24/1622616283280_fe5cd029be7fd5fc91b5_96.png,EasySupport,Quickly create and manage your tickets as messages.
1621182603-562,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,Next,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured?page=2,https://avatars.slack-edge.com/2020-02-12/936120943570_396303cdc6fb95d7ade0_96.png,HelpDesk+,Jira Service Desk for Slack
1621182588-505,https://gangchanger.slack.com/apps/category/At01EB3C3VKK-enterprise-ready-apps,,,https://avatars.slack-edge.com/2019-11-15/835716285956_cc10ddcd251d9fcd4d19_96.png,Lingvanex: Language Translation Bot,"Translate messages, files, websites in channels with 112 languages and dictionary for international teams communication and office work"
1621182515-278,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2020-07-01/1209477776662_df99a2863e41fc91f97d_96.png,360Katas,Open source 360 degree feedback tool for self-development and productivity.
1621182538-358,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps,Next,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps?page=2,https://avatars.slack-edge.com/2019-10-09/782801474737_210cdf27fca202d90213_96.png,New Relic AI,Deliver more perfect software
1621182531-334,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps,,,https://avatars.slack-edge.com/2021-02-09/1730367132018_43f8f38b9659ddef2131_96.png,Slack for Gmail,Send emails into Slack to discuss them with your teammates.
1621182460-88,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,,,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2017-11-02/265549064913_0c3523dfe8911bbc8151_96.png,Rocketbook,"Scan and send your Rocketbook pages to yourself, teammates, and channels."
1621182496-205,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2021-03-16/1859213796614_4749c63cdece3913fce1_96.png,Jambird,What are you Jamming on now?!
1621182545-378,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps,Previous,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps?page=1,https://avatars.slack-edge.com/2020-10-26/1466083688641_05afc842ead4d799a4fc_96.png,Polly,"Instant engagement through polls, surveys, standups and trivia 📊"
1621182505-234,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-12-08/1550800331062_bbe4ee742e12ef68316f_96.jpg,Cheersly,"Employee engagement and peer recognition platform to build cheerful teams, conduct anonymous polls and share feedback."
1621182476-157,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Previous,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=1,https://avatars.slack-edge.com/2019-06-17/661699986145_7dc9369eb48c8f779b3f_96.png,NAVITIME for Slack,Global transit search app
1621182538-355,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps,Next,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps?page=2,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2016-06-11/50081258807_bf92d5626ccd0859d53e_96.png,Yodel.io Phone System,The business phone for teams that lives in Slack!
1621182595-518,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,,,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2017-06-20/200850512066_2d5e268a3b71c87f969c_96.png,Zapier,Easy automation for busy people
1621182496-228,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2020-10-26/1459892137780_44293d4f6fc37b65fd79_96.png,NorthShore.ai,Solving knowledge management challenges for scaled organizations through trusted content and social connections.
1621182588-494,https://gangchanger.slack.com/apps/category/At01EB3C3VKK-enterprise-ready-apps,,,https://avatars.slack-edge.com/2020-10-26/1466083688641_05afc842ead4d799a4fc_96.png,Polly,"Instant engagement through polls, surveys, standups and trivia 📊"
1621182588-496,https://gangchanger.slack.com/apps/category/At01EB3C3VKK-enterprise-ready-apps,,,https://avatars.slack-edge.com/2018-06-17/384053245894_495b0d8bc7454e59a3c8_96.png,Cisco Webex Meetings,"Start, schedule or join Webex video meetings from Slack."
1621182505-236,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-04-10/1053148620358_9627dade985d77bfd394_96.png,Interviewsly,The best interview management solution for Slack teams
1621182559-420,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,,,https://avatars.slack-edge.com/2017-03-27/159746031889_77753ab40a2fa603bd53_96.png,InVision App,Streamline your design workflow by bringing the feedback process right into Slack.
1621182566-444,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,Next,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home?page=2,https://avatars.slack-edge.com/2020-08-11/1294203062658_6bf13d3d7068b1864eaa_96.png,Fellow,"Meeting agendas, action items, and feedback – all in one place"
1621182595-527,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,,,https://avatars.slack-edge.com/2020-07-10/1247741304785_28de1a5980380c25f310_96.png,Asana,Move work forward.
1621182505-255,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-12-17/1606477765872_787038f66c1b805a03eb_96.png,Ricotta Trivia,"Engage remote teams with fun trivia, photo quiz and ice-breaker games 🏆"
1621182496-210,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2019-02-15/551236329504_9f0b4d739be8cec89ce4_96.png,Aristotle,Aristotle is your new personal data assistant
1621182468-115,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=2,https://avatars.slack-edge.com/2021-04-19/1979250164274_1d2be58a3fa7cee86b1b_96.png,Votum Poll,"Run polls, crowdsource and vote ideas, collect questions"
1621182595-543,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,,,https://avatars.slack-edge.com/2016-09-12/78649487781_23a78294a23ca53e1fb5_96.png,Nikabot Time Tracking,Easy Time Tracking in Slack
1621182505-261,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-03-31/1027672564609_267bf2cd29660f5e147e_96.png,Edwin,Edwin - A Security Team in your Slack
1621182468-122,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=2,https://avatars.slack-edge.com/2019-05-13/622404061475_8bebcc129536a64a98c4_96.png,Alert Mixer,"Route, escalate, schedule monitoring alerts for DevOps & SRE"
1621182476-152,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Previous,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=1,https://avatars.slack-edge.com/2016-11-16/104603337697_8c59eb07d9723112349a_96.png,Egnyte,Share links to files managed by Egnyte into the Slack channel of your choice.
1621182559-405,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,,,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2018-07-23/403895177205_5bba247da24a9129c161_96.png,Zendesk,"View, create, and take action on support tickets from any Slack channel"
1621182446-35,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,Next,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots?page=2,https://avatars.slack-edge.com/2021-01-04/1608277046405_62cef733688db19b7b67_96.png,Grow - fastest feedback platform 🌱,"Easy, high-quality feedback - 100% in Slack 🌱"
1621182468-123,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=2,https://avatars.slack-edge.com/2020-08-21/1315797593731_b705f5ec6a4283a53600_96.png,Lucidspark,Brainstorm and collaborate with your team
1621182559-425,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,,,https://avatars.slack-edge.com/2018-10-25/463623291296_f97ffc769c9b1fd4297f_96.png,"MailClark, email for teams","Gmail, Outlook, Facebook, Twitter — Shared Inbox in Slack"
1621182610-584,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,Previous,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured?page=1,https://avatars.slack-edge.com/2020-07-10/1247741304785_28de1a5980380c25f310_96.png,Asana,Move work forward.
1621182446-40,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,Next,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots?page=2,https://avatars.slack-edge.com/2019-08-11/711540520962_429a79d02add6e6e08cc_96.png,Lunch Roulette,Get together randomly for lunch or virtual coffee chats remotely. 🥗  ☕
1621182476-155,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Previous,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=1,https://avatars.slack-edge.com/2019-07-11/680425406306_ed2e096c273248ab71b5_96.png,Azure Boards,Monitor work item activity and create work items in your Azure Boards project from within Slack channels
1621182559-410,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,,,https://avatars.slack-edge.com/2020-10-26/1466083688641_05afc842ead4d799a4fc_96.png,Polly,"Instant engagement through polls, surveys, standups and trivia 📊"
1621182515-267,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2021-01-05/1606303678278_ac7b24bc6ef78144c85f_96.png,TravelPerk,Trip approval requests
1621182545-390,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps,Previous,https://gangchanger.slack.com/apps/category/At64BY3G3F-essential-apps?page=1,https://avatars.slack-edge.com/2020-04-15/1088307881504_5d41c65f1d58ab969c5b_96.png,HubSpot,"Marketing, sales and customer service software that starts free to help you grow better."
1621182566-438,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home,Next,https://gangchanger.slack.com/apps/category/AtVCT88N5T-working-from-home?page=2,https://slack-files2.s3-us-west-2.amazonaws.com/avatars/2018-04-13/347347562630_ee3e75506727d642baa7_96.png,Ally OKRs,With one-click you are connected to the richest set of OKR features and integrated workflows available for Slack
1621182588-502,https://gangchanger.slack.com/apps/category/At01EB3C3VKK-enterprise-ready-apps,,,https://avatars.slack-edge.com/2019-11-18/841384091622_f7a1613a927df0040617_96.png,Amazon Chime Meetings,Instantly start and join Amazon Chime meetings from Slack
1621182505-239,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-07-09/1246257281777_836f29bc8e096f82d371_96.png,Amby,Simplified Performance Management Software for the Modern Teams
1621182505-247,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=5,https://avatars.slack-edge.com/2020-03-14/1003008482038_6d69cd8204e12db64aed_96.png,NerdyData,Lookup any website's Tech Stack!
1621182446-55,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,Next,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots?page=2,https://avatars.slack-edge.com/2021-01-20/1651751927190_d531b88342014108965a_96.png,Incognito for Slack,Anonymous feedback and polls for leadership teams
1621182496-225,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2020-11-17/1515165462292_f5cf9847af38f757413c_96.png,Cupcake,Celebrate birthdays with charitable donations.
1621182603-560,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured,Next,https://gangchanger.slack.com/apps/category/At0EFWTR6D-featured?page=2,https://avatars.slack-edge.com/2020-08-14/1325994403376_6b06354ef31c1f5d8a61_96.jpg,atSpoke,"A simpler, smarter way to manage workplace requests"
1621182452-73,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots,Previous,https://gangchanger.slack.com/apps/category/At0EFT6813-brilliant-bots?page=1,https://avatars.slack-edge.com/2021-01-04/1623817584577_5fa82ebb9875e49b34de_96.png,Obie,"Build a wiki, capture FAQs and search for documents all in one place"
1621182515-291,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=6,https://avatars.slack-edge.com/2020-07-05/1223280406850_3613923cd8762977e221_96.jpg,Hello Package,Track packages in Slack
1621182496-224,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy,Next,https://gangchanger.slack.com/apps/category/At0EFT67V3-new-noteworthy?page=4,https://avatars.slack-edge.com/2021-05-07/2035929213510_b25fd079cb2a208727f9_96.png,Haekka,Actually Good Security Awareness Training.
